WVP2 CI 12.2100 S 0.46    E  39.30
WNM  CI  6.8200 P 0.10    E  39.60
B917 PB 11.9400 S 0.17    E  39.90
JRC2 CI  7.2400 P 0.01 U  I  41.40
JRC2 CI 12.5800 S 0.31    E  41.40
WCS2 CI  7.5800 P 0.15    E  42.70
WCS2 CI 12.9100 S 0.34    E  42.70
WRV2 CI  8.2500 P 0.09    E  48.50
WRV2 CI 14.6200 S 0.46    E  48.50
WMF  CI  9.5200 P 0.07 D  I  55.70
WMF  CI 16.4300 S 0.36    E  55.70
B916 PB  9.3500 P 0.07 D  I  56.00
B916 PB 16.2200 S 0.11    E  56.00
DTP  CI  9.6000 P 0.20 D  I  58.10
DTP  CI 16.6800 S 0.03    E  58.10
WBS  CI 10.1900 P 0.09    E  60.90
WBS  CI 17.6700 S 0.19    E  60.90
DAW  CI 10.4700 P 0.23    E  63.30
DAW  CI 18.1200 S 0.22    E  63.30
QSM  NN 10.8000 P 0.03    E  63.60
QSM  NN 18.5500 S 0.26    E  63.60
WHF  CI 12.7300 P 0.07 U  I  77.00
WHF  CI 21.7400 S 0.00    E  77.00
GSC  CI 22.4800 S 0.50    E  77.20
CCA  CI 12.9600 P 0.04    E  77.40
CCA  CI 22.4600 S 0.55    E  77.40
ISA  CI 14.9500 P 0.40    E  88.10
ISA  CI 24.8900 S 0.17    E  88.10
TEH  CI 15.4300 P 0.18    E  95.30
TEH  CI 26.7900 S 0.20    E  95.30
CGO  CI 16.4100 P 0.50    E  97.60
CGO  CI 28.8900 S 1.64    E  97.60
EDW2 CI 16.7900 P 0.14    E  102.20
EDW2 CI 29.0000 S 0.56    E  102.20
AVM  CI 30.4400 S 0.30    E  107.20
LEC  SN 19.5100 P 0.17    E  119.60
LEC  SN 33.9900 S 0.67    E  119.60
HEL  SN 20.5300 P 0.69    E  122.40
HEL  SN 34.8200 S 0.68    E  122.40
SPG2 CI 20.7500 P 0.41    E  126.50
# 2019 07 04 17 02 55.34  35.7082 -117.5037 10.60  3.98  0.11  0.25  0.16  23 124  44  68         7
SLA  CI  9.3000 S 0.45    x  28.40
B916 PB  9.3000 P 0.09 D  x  55.80
TOW2 CI  5.1600 P 0.07 U  I  26.00
B921 PB  5.5100 S 0.45    I  14.00
CLC  CI  3.1300 P 0.05 D  I  14.60
CLC  CI  5.5900 S 0.39    E  14.60
SRT  CI  8.5600 S 1.15    I  22.30
CCC  CI  8.8000 S 0.89    I  23.90
TOW2 CI  9.6500 S 1.45    I  26.00
B918 PB  4.7300 P 0.13 D  I  26.80
B918 PB  7.9900 S 0.23    E  26.80
SLA  CI  5.1700 P 0.06 U  I  28.40
WRC2 CI  9.5500 S 0.40    E  29.70
LRL  CI  5.2800 P 0.13 D  I  30.10
WBM  CI 11.8800 S 0.99    I  36.60
WVP2 CI 12.1600 S 0.53    E  38.90
MPM  CI  6.6800 P 0.06 D  I  38.90
MPM  CI 12.0900 S 0.68    E  38.90
WNM  CI 12.2900 S 0.74    E  39.20
SRT  CI  4.5400 P 0.04 U  I  22.30
WRC2 CI  5.3400 P 0.05 D  I  29.70
CCC  CI  4.7700 P 0.09 D  I  23.90
B921 PB  2.9100 P 0.08 D  I  14.00
LRL  CI  9.4400 S 0.26    I  30.10
WBM  CI  6.8000 P 0.21 U  I  36.60
WVP2 CI  6.7700 P 0.08 U  I  38.90
WNM  CI  6.7800 P 0.06 U  I  39.20
B917 PB  6.8500 P 0.13 D  I  40.30
WCS2 CI 12.7400 S 0.27    I  42.40
JRC2 CI  7.2000 P 0.04 U  I  41.00
JRC2 CI 12.5000 S 0.34    E  41.00
WCS2 CI  7.2700 P 0.10 D  I  42.40
WRV2 CI  8.2000 P 0.07 U  I  48.20
WRV2 CI 14.4700 S 0.42    E  48.20
WMF  CI  9.4400 P 0.03 D  I  55.40
WMF  CI 16.1200 S 0.12    E  55.40
B916 PB 16.3500 S 0.28    E  55.80
